"M_range","Site","Plot","Z","Type","Essence","Diameter","Position","Contact","Sap_max","P_Bux","X","Y"
"Massif_central","M2","M2",1457.190476,"Bois mort au sol","Résineux",28,"Axe de pente","Total","4","0",683945.647020829,6440782.48791534
"Massif_central","M2","M2",1456.428571,"Souche","Résineux",114,NA,NA,"3","0",683935.299970502,6440829.27228943
"Massif_central","M2","M2",1449,"Bois mort au sol","Résineux",12,"Perpandiculaire","Partiel","2","0",683923.972982008,6440831.85603415
"Massif_central","M2","M2",1441.714286,"Souche","Résineux",56,NA,NA,"4","0",683925.308390052,6440830.85301057
"Massif_central","M2","M2",1443,"Souche","Indéterminé",47,NA,NA,"4","0",683923.748931875,6440836.52127077
"Massif_central","M2","M2",1446,"Souche","Résineux",67,NA,NA,"4","0",683918.557534277,6440837.75639782
"Massif_central","M2","M2",1453,"Bois mort au sol","Résineux",18,"Perpandiculaire","Total","3","0",683915.776687821,6440827.65683719
"Massif_central","M2","M2",1455,"Bois mort au sol","Résineux",23,"Perpandiculaire","Total","4","1",683918.372821398,6440827.20586573
"Massif_central","M2","M2",1462,"Souche","Résineux",63,NA,NA,"5","0",683907.223665996,6440837.67467258
"Massif_central","M2","M2",1487.52381,"Souche","Résineux",64,NA,NA,"4","0",683909.892174284,6440834.78011837
"Massif_central","M2","M2",1459,"Bois mort au sol","Feuillus",25,"Perpandiculaire","Partiel","4","0",683894.25166237,6440843.26143947
"Massif_central","M2","M2",1456,"Bois mort au sol","Résineux",36,"Perpandiculaire","Partiel","4","1",683894.789072679,6440838.04007343
"Massif_central","M2","M2",1454.904762,"Bois mort au sol","Résineux",40,"Perpandiculaire","Total","4","0",683883.940685277,6440843.06604269
"Massif_central","M2","M2",1457.047619,"Souche","Résineux",57,NA,NA,"4","0",683881.125728138,6440850.1813918
"Massif_central","M2","M2",1462.47619,"Bois mort au sol","Résineux",33,"Axe de pente","Absent","2","0",683879.325013992,6440853.85115007
"Massif_central","M2","M2",1462.047619,"Bois mort au sol","Résineux",45,"Axe de pente","Total","5","0",683882.078544459,6440853.39975516
"Massif_central","M2","M2",1459.714286,"Bois mort au sol","Résineux",41,"Perpandiculaire","Total","3","1",683873.436244187,6440859.30852766
"Massif_central","M2","M2",1459.142857,"Bois mort au sol","Résineux",27,"Axe de pente","Total","3","0",683867.365857151,6440855.43706849
"Massif_central","M2","M2",1466.285714,"Bois mort au sol","Résineux",15,"Axe de pente","Total","5","0",683864.232932266,6440861.33155467
"Massif_central","M2","M2",1477,"Souche","Résineux",108,NA,NA,"3","0",683861.712637905,6440860.67171923
"Massif_central","M2","M2",1462.190476,"Souche","Résineux",58,NA,NA,"4","0",683854.33455309,6440868.46531091
"Massif_central","M2","M2",1465.333333,"Bois mort au sol","Résineux",39,"Autre","Total","3","0",683852.914111202,6440867.02517897
"Massif_central","M2","M2",1477,"Bois mort au sol","Résineux",17,"Axe de pente","Partiel","3","0",683843.696092296,6440863.38404843
"Massif_central","M2","M2",1472.047619,"Bois mort au sol","Résineux",17,"Axe de pente","Total","5","1",683843.142846729,6440862.49698063
"Massif_central","M2","M2",1482.380952,"Bois mort au sol","Résineux",16,"Autre","Partiel","4","0",683845.440884406,6440868.48842268
"Massif_central","M2","M2",1470,"Bois mort au sol","Résineux",36,"Axe de pente","Total","5","0",683841.580006359,6440866.83251095
"Massif_central","M2","M2",1472,"Souche","Résineux",64,NA,NA,"5","0",683838.433248326,6440867.39600965
"Massif_central","M2","M2",1480.47619,"Bois mort au sol","Résineux",16,"Perpandiculaire","Total","3","0",683835.138902677,6440871.7360446
"Massif_central","M2","M2",1479.761905,"Souche","Résineux",87,NA,NA,"4","0",683838.628204685,6440881.83372602
"Massif_central","M2","M2",1471.857143,"Bois mort au sol","Résineux",25,"Perpandiculaire","Total","4","0",683833.585604188,6440879.73663948
