"","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"Range for spatial.field",43.9054667760644,12.7585889540467,24.298105920599,42.0882810302696,74.0813737234639,38.6308515362687
"Stdev for spatial.field",0.848050904107043,0.127692821794272,0.619183463764412,0.840389647048562,1.12061175509547,0.828561541456339
